iter	Passed	Remaining
0	66	33084
1	161	40222
2	264	43786
3	348	43212
4	469	46465
5	587	48330
6	682	48082
7	772	47538
8	904	49331
9	998	48944
10	1125	50041
11	1233	50168
12	1323	49566
13	1399	48580
14	1488	48128
15	1560	47216
16	1649	46852
17	1756	47025
18	1846	46757
19	1931	46356
20	2009	45840
21	2101	45669
22	2179	45201
23	2261	44861
24	2346	44581
25	2431	44328
26	2532	44361
27	2633	44392
28	2712	44054
29	2798	43843
30	2898	43846
31	2996	43831
32	3085	43669
33	3164	43369
34	3247	43142
35	3328	42895
36	3420	42806
37	3513	42713
38	3592	42465
39	3684	42366
40	3770	42208
41	3862	42116
42	3956	42049
43	4030	41773
44	4112	41578
45	4199	41446
46	4286	41313
47	4364	41098
48	4449	40955
49	4540	40866
50	4616	40641
51	4670	40235
52	4752	40080
53	4874	40259
54	4965	40176
55	5057	40099
56	5120	39795
57	5191	39562
58	5278	39451
59	5349	39230
60	5439	39148
61	5525	39038
62	5625	39019
63	5712	38919
64	5796	38792
65	5879	38663
66	5966	38556
67	6055	38470
68	6123	38246
69	6209	38143
70	6294	38032
71	6385	37959
72	6461	37795
73	6543	37670
74	6609	37455
75	6682	37280
76	6762	37147
77	6852	37072
78	6944	37008
79	7039	36956
80	7147	36975
81	7248	36950
82	7326	36807
83	7391	36604
84	7486	36549
85	7622	36692
86	7753	36807
87	7873	36860
88	7976	36834
89	8050	36676
90	8129	36535
91	8248	36581
92	8323	36426
93	8404	36301
94	8498	36231
95	8568	36060
96	8640	35898
97	8712	35737
98	8805	35664
99	8899	35599
100	8989	35511
101	9105	35530
102	9224	35556
103	9331	35530
104	9446	35535
105	9515	35368
106	9623	35344
107	9743	35365
108	9875	35424
109	9949	35274
110	10041	35190
111	10150	35163
112	10247	35097
113	10312	34918
114	10390	34786
115	10476	34680
116	10565	34585
117	10643	34454
118	10726	34342
119	10829	34293
120	10934	34248
121	11006	34102
122	11084	33973
123	11171	33874
124	11266	33798
