iter	Logloss
0	0.6847977672
1	0.6760584808
2	0.671506178
3	0.6637767857
4	0.6557911735
5	0.6464432743
6	0.6405987119
7	0.634045937
8	0.6318034062
9	0.626756775
10	0.6223601019
11	0.6173494951
12	0.6097575398
13	0.6037367718
14	0.6006158152
15	0.5962585931
16	0.5903836156
17	0.5878699
18	0.5850937476
19	0.5817639862
20	0.5787582358
21	0.575439767
22	0.5724925726
23	0.5695077667
24	0.5671120986
25	0.5641641898
26	0.5612336227
27	0.5582513254
28	0.5559497719
29	0.553284376
30	0.5516814575
31	0.5499821119
32	0.547567763
33	0.5466147473
34	0.5441553347
35	0.5426303355
36	0.5398790872
37	0.5376118556
38	0.5362975757
39	0.5346333178
40	0.5337061122
41	0.5319269056
42	0.5301982142
43	0.5287048939
44	0.5272588503
45	0.5259375866
46	0.5245735664
47	0.523407772
48	0.5224713806
49	0.5213643828
50	0.520229865
51	0.5197355515
52	0.5182027849
53	0.5161190496
54	0.5157452986
55	0.5148653411
56	0.5140201115
57	0.5130153974
58	0.5122798023
59	0.5113947598
60	0.510227143
61	0.5096025509
62	0.5091858445
63	0.5083956302
64	0.5075371803
65	0.5069863137
66	0.5062897992
67	0.5056772304
68	0.5050518128
69	0.5040251311
70	0.503355097
71	0.5026885165
72	0.5015547795
73	0.500993506
74	0.5004819686
75	0.499502219
76	0.4991198948
77	0.498535659
78	0.4982074386
79	0.497692608
80	0.497075292
81	0.4964824311
82	0.495656746
83	0.4950504899
84	0.4945065277
85	0.4939769484
86	0.493844154
87	0.493513442
88	0.4931230848
89	0.4924378315
90	0.4922567552
91	0.4920433598
92	0.4914571506
93	0.4909829715
94	0.4906761055
95	0.4900781617
96	0.4897640132
97	0.4893296073
98	0.4888660328
99	0.4884811694
100	0.4881405056
101	0.4879618013
102	0.4876986517
103	0.4872610344
104	0.4869059302
105	0.4867782684
106	0.4864025982
107	0.4859182214
108	0.4856166219
109	0.4852594118
110	0.484900763
111	0.4843304162
112	0.4840341392
113	0.4837640097
114	0.4835485772
115	0.4832820026
116	0.4828526948
117	0.4824722545
118	0.4821666124
119	0.4819699375
120	0.4816611268
121	0.4813229344
122	0.4812703108
123	0.4811399877
124	0.4808584264
125	0.4807587964
126	0.4806071787
127	0.4804997335
128	0.4800684998
129	0.4798356374
130	0.4797229207
131	0.4795201931
132	0.4793125938
133	0.4791146716
134	0.478981004
135	0.4786145854
136	0.4782084141
137	0.4779618421
138	0.47768579
139	0.4775474635
140	0.4773615304
141	0.4773265387
142	0.4770025221
143	0.4767102015
144	0.4765301564
145	0.4764388663
146	0.4763292027
147	0.4760559421
148	0.4758135585
149	0.4755720366
150	0.4754293636
151	0.4752113261
152	0.47513521
153	0.4749914016
154	0.4749046354
155	0.4745355342
156	0.4742765529
157	0.474199959
158	0.474111674
159	0.473964098
160	0.4737979341
161	0.4737203256
162	0.4735855099
163	0.4733231287
164	0.4730723231
165	0.4729632541
166	0.4728482493
167	0.4726258427
168	0.4723595293
169	0.4722664353
170	0.4720909046
171	0.471815114
172	0.471635518
173	0.4714458604
174	0.4712389656
175	0.4711554588
176	0.4711237358
177	0.4709534469
178	0.4706846476
179	0.4705085436
180	0.4703512821
181	0.4702087942
182	0.4699639972
183	0.4698014241
184	0.4696962646
185	0.4695609773
186	0.4694267195
187	0.4693289704
188	0.4692104426
189	0.4690428732
190	0.4689377863
191	0.46878509
192	0.4686877045
193	0.4686400564
194	0.4685709807
195	0.4683795097
196	0.4683399491
197	0.4682873132
198	0.4681922444
199	0.4681212228
200	0.467996617
201	0.4679509037
202	0.4678977
203	0.4678066026
204	0.4675912347
205	0.4674504359
206	0.4673406921
207	0.4672222771
208	0.4671450347
209	0.4670077127
210	0.4667985688
211	0.4666797196
