iter	Passed	Remaining
0	66	33067
1	147	36646
2	225	37332
3	315	39141
4	391	38713
5	465	38306
6	545	38411
7	631	38816
8	719	39245
9	797	39091
10	891	39640
11	960	39075
12	1044	39140
13	1132	39302
14	1214	39266
15	1307	39565
16	1403	39889
17	1489	39886
18	1573	39822
19	1658	39801
20	1725	39364
21	1817	39484
22	1892	39256
23	1945	38585
24	2035	38669
25	2117	38600
26	2205	38642
27	2288	38580
28	2394	38884
29	2481	38884
30	2572	38916
31	2671	39073
32	2768	39179
33	2850	39062
34	2932	38960
35	3016	38881
36	3106	38871
37	3195	38849
38	3286	38842
39	3363	38682
40	3430	38405
41	3516	38351
42	3618	38457
43	3715	38509
44	3795	38376
45	3891	38409
46	3976	38322
47	4058	38218
48	4128	38000
49	4218	37964
50	4298	37843
51	4378	37726
52	4458	37600
53	4547	37554
54	4629	37454
55	4730	37508
56	4832	37561
57	4948	37707
58	5039	37665
59	5116	37520
60	5218	37555
61	5347	37777
62	5435	37705
63	5522	37625
64	5619	37610
65	5711	37557
66	5788	37407
67	5872	37310
68	5977	37335
69	6060	37227
70	6134	37066
71	6220	36979
72	6297	36838
73	6384	36752
74	6456	36588
75	6528	36422
76	6603	36276
77	6678	36130
78	6749	35967
79	6830	35859
80	6932	35858
81	7027	35824
82	7095	35647
83	7165	35488
84	7316	35720
85	7428	35761
86	7535	35770
87	7652	35827
88	7737	35729
89	7796	35518
90	8002	35967
91	8135	36080
92	8244	36080
93	8348	36059
94	8452	36033
95	8553	35994
96	8628	35847
97	8722	35778
98	8816	35711
99	8907	35631
100	8999	35550
101	9081	35436
102	9148	35263
103	9210	35072
104	9288	34943
105	9371	34832
106	9457	34735
107	9547	34655
108	9631	34549
109	9743	34544
110	9862	34562
111	9923	34378
112	10002	34255
113	10062	34070
114	10141	33951
115	10207	33790
116	10275	33636
117	10354	33519
118	10419	33360
119	10488	33214
120	10568	33103
121	10642	32973
122	10723	32867
123	10803	32758
124	10875	32627
125	10936	32463
126	10990	32280
127	11059	32142
128	11116	31970
129	11186	31837
130	11256	31706
131	11309	31529
132	11381	31405
133	11462	31308
134	11534	31185
135	11610	31074
136	11747	31126
137	11852	31091
138	11950	31036
139	12074	31049
140	12172	30991
141	12264	30919
142	12361	30860
143	12452	30786
144	12524	30663
145	12600	30552
146	12652	30384
147	12715	30241
148	12808	30173
149	12903	30108
150	12982	30006
151	13034	29841
152	13112	29739
153	13185	29625
154	13293	29587
155	13376	29496
156	13454	29394
157	13526	29278
158	13587	29141
159	13646	28998
160	13721	28891
161	13819	28832
162	13904	28747
163	13971	28625
164	14036	28498
165	14123	28416
166	14195	28305
167	14267	28194
168	14347	28101
169	14424	28001
170	14523	27942
171	14607	27857
172	14706	27797
173	14787	27705
174	14868	27612
175	14936	27496
176	15007	27387
177	15081	27282
178	15165	27195
179	15235	27085
180	15297	26960
181	15433	26965
182	15507	26862
183	15583	26762
184	15660	26665
185	15728	26551
186	15794	26437
187	15863	26326
188	15943	26234
189	16024	26145
190	16107	26058
191	16173	25944
192	16243	25837
193	16303	25715
194	16387	25632
195	16468	25543
196	16554	25461
197	16625	25357
198	16695	25253
199	16784	25176
200	16863	25085
201	16929	24974
202	16988	24854
203	17071	24771
204	17154	24685
205	17243	24610
206	17316	24510
207	17402	24430
208	17491	24354
209	17562	24253
210	17634	24153
211	17704	24051
212	17778	23955
213	17879	23895
214	17957	23804
215	18033	23710
216	18108	23615
217	18183	23522
218	18278	23453
219	18360	23368
220	18433	23271
221	18504	23172
222	18579	23078
223	18706	23049
224	18810	22990
225	18890	22902
226	18972	22817
227	19111	22799
228	19185	22703
229	19302	22659
230	19353	22537
231	19436	22452
232	19528	22378
233	19675	22366
234	19778	22303
235	19882	22241
236	19959	22148
237	20064	22087
238	20165	22021
239	20244	21931
240	20335	21854
241	20394	21742
242	20478	21658
243	20560	21572
244	20635	21478
245	20722	21396
246	20803	21308
247	20902	21239
248	20991	21160
249	21058	21058
250	21147	20978
251	21254	20917
252	21394	20887
253	21502	20825
254	21582	20736
255	21653	20638
256	21746	20561
257	21841	20486
258	21939	20414
259	22031	20336
260	22113	20249
261	22197	20164
262	22274	20072
263	22373	20000
264	22456	19914
265	22556	19842
266	22666	19780
267	22760	19702
268	22882	19649
269	22979	19575
270	23071	19496
271	23160	19414
272	23254	19336
273	23367	19274
274	23461	19195
275	23570	19129
276	23655	19043
277	23735	18954
278	23810	18860
279	23901	18780
280	23983	18691
281	24080	18615
282	24177	18538
283	24274	18462
284	24327	18352
285	24418	18270
286	24522	18199
287	24618	18122
288	24726	18053
289	24853	17997
290	24947	17917
291	25066	17855
292	25178	17787
293	25247	17690
294	25361	17623
295	25473	17555
296	25579	17483
297	25669	17399
298	25767	17322
299	25862	17241
300	25983	17178
301	26136	17135
302	26351	17132
303	26474	17068
304	26579	16993
305	26671	16909
306	26761	16823
307	26849	16737
308	26955	16661
309	27048	16578
310	27159	16505
311	27245	16416
312	27333	16330
313	27437	16252
314	27520	16162
315	27611	16077
316	27697	15989
317	27798	15909
318	27880	15819
319	27974	15735
320	28068	15652
321	28182	15579
322	28288	15501
323	28394	15424
324	28490	15340
325	28590	15259
326	28692	15179
327	28804	15104
328	28890	15016
329	28989	14934
330	29084	14849
331	29177	14764
332	29287	14687
333	29470	14646
334	29664	14611
335	29794	14542
336	29901	14462
337	30006	14381
338	30114	14302
339	30219	14221
340	30329	14141
341	30440	14063
342	30575	13995
343	30682	13914
344	30772	13825
345	30887	13747
346	31002	13669
347	31060	13566
348	31174	13488
349	31300	13414
350	31396	13327
351	31490	13240
352	31583	13152
353	31670	13061
354	31773	12977
355	31886	12897
356	31983	12811
357	32076	12722
358	32150	12627
359	32224	12531
360	32323	12445
361	32410	12355
362	32501	12266
363	32592	12177
364	32680	12087
365	32766	11996
366	32852	11905
367	32938	11815
368	33028	11725
369	33114	11634
370	33219	11550
371	33275	11449
372	33366	11360
373	33457	11271
374	33516	11172
375	33577	11073
376	33674	10986
377	33769	10899
378	33855	10808
379	33940	10718
380	34017	10625
381	34103	10534
382	34195	10446
383	34284	10356
384	34336	10256
385	34421	10165
386	34505	10075
387	34564	9977
388	34622	9879
389	34721	9793
390	34760	9690
391	34847	9600
392	34897	9501
393	34950	9402
394	35042	9315
395	35127	9225
396	35258	9147
397	35343	9057
398	35421	8966
399	35516	8879
400	35607	8790
401	35691	8700
402	35786	8613
403	35887	8527
404	35991	8442
405	36050	8346
