iter	Logloss
0	0.6838557362
1	0.6795137825
2	0.6693884603
3	0.6603988538
4	0.6545245138
5	0.6460141679
6	0.6387835706
7	0.6312746294
8	0.6230970279
9	0.6175527277
10	0.609496965
11	0.6048424638
12	0.6006761822
13	0.5948001419
14	0.5898874194
15	0.5860240683
16	0.5834848061
17	0.5783704768
18	0.5752032235
19	0.5716006714
20	0.5686799134
21	0.5656673655
22	0.5633579414
23	0.560589822
24	0.5591589044
25	0.5568676532
26	0.5553854375
27	0.553146661
28	0.5506759112
29	0.5488149062
30	0.5472009355
31	0.54550935
32	0.5431296959
33	0.5421308682
34	0.540155649
35	0.5390176033
36	0.5376285751
37	0.536127666
38	0.5338883729
39	0.5322156401
40	0.5307238339
41	0.5293787171
42	0.5283810195
43	0.5267601367
44	0.5254404194
45	0.524528813
46	0.5230691373
47	0.5219214081
48	0.5209881828
49	0.5202781689
50	0.5194848187
51	0.5189602231
52	0.5182015272
53	0.5170153444
54	0.5157419351
55	0.5144417093
56	0.5133954285
57	0.5124480944
58	0.5111040307
59	0.5100382184
60	0.5093483893
61	0.5087687315
62	0.5078225418
63	0.5072671668
64	0.5063968914
65	0.5059033193
66	0.5050310174
67	0.5046409432
68	0.5040328078
69	0.5035034419
70	0.5029832752
71	0.501986953
72	0.5017306662
73	0.5011455357
74	0.5007004543
75	0.4994266055
76	0.4989719125
77	0.498425122
78	0.4979538869
79	0.4971615439
80	0.4966554882
81	0.4962588552
82	0.4957535757
83	0.4949262182
84	0.494431118
85	0.4943236731
86	0.4940730177
87	0.4935375107
88	0.4932972607
89	0.4927358815
90	0.4922033818
91	0.4915825703
92	0.4908264067
93	0.4901037723
94	0.4899030312
95	0.4892434458
96	0.4890922369
97	0.4888905147
98	0.4887018188
99	0.48843603
100	0.4881942542
101	0.4878728961
102	0.4874106369
103	0.4870475278
104	0.4866914776
105	0.4863481368
106	0.4861787099
107	0.4860455227
108	0.4857488726
109	0.4856686594
110	0.4854747881
111	0.4850110497
112	0.4846391118
113	0.4841405956
114	0.4835070317
115	0.4833811771
116	0.4830248998
117	0.4825748381
118	0.4822776713
119	0.4818313285
120	0.4813760658
121	0.4812983039
122	0.4810568122
123	0.4809567128
124	0.4806662356
125	0.4804011806
126	0.4800925212
127	0.4795471655
128	0.4793960037
129	0.4788743079
130	0.4787730433
131	0.4786522011
132	0.4784894444
133	0.478131092
134	0.4778829989
135	0.4778087628
136	0.4776877141
137	0.4774074655
138	0.4771307351
139	0.4768785582
140	0.4766382884
141	0.4763576476
142	0.475751748
143	0.4754541695
144	0.4753475161
145	0.4750737944
146	0.4748382736
147	0.47464134
148	0.4745139345
149	0.4742748132
150	0.4739743795
151	0.4738394845
