iter	Passed	Remaining
0	77	38734
1	183	45785
2	258	42808
3	344	42772
4	423	41936
5	511	42122
6	603	42501
7	686	42193
8	769	41986
9	852	41785
10	923	41064
11	1008	40994
12	1092	40930
13	1176	40838
14	1251	40452
15	1341	40569
16	1424	40471
17	1516	40608
18	1605	40642
19	1698	40752
20	1792	40884
21	1874	40726
22	1949	40432
23	2036	40389
24	2123	40342
25	2210	40292
26	2298	40265
27	2382	40155
28	2463	40012
29	2537	39746
30	2630	39790
31	2720	39784
32	2812	39807
33	2902	39776
34	2978	39574
35	3120	40217
36	3252	40704
37	3321	40381
38	3416	40382
39	3502	40280
40	3565	39918
41	3652	39825
42	3731	39658
43	3814	39533
44	3903	39464
45	3985	39339
46	4066	39192
47	4161	39185
48	4238	39009
49	4319	38875
50	4406	38797
51	4496	38743
52	4577	38610
53	4668	38555
54	4738	38334
55	4829	38292
56	4906	38135
57	4990	38030
58	5079	37967
59	5169	37907
60	5252	37799
61	5340	37731
62	5429	37663
63	5520	37608
64	5616	37587
65	5711	37557
66	5782	37368
67	5880	37356
68	5999	37476
69	6095	37446
70	6178	37332
71	6260	37216
72	6335	37061
73	6410	36905
74	6498	36822
75	6588	36759
76	6681	36706
77	6762	36584
78	6841	36457
79	6923	36349
80	6993	36174
81	7085	36118
82	7175	36052
83	7257	35939
84	7330	35790
85	7399	35620
86	7464	35432
87	7556	35377
88	7638	35275
89	7713	35137
90	7784	34986
91	7862	34869
92	7947	34780
93	8041	34733
94	8142	34711
95	8229	34633
96	8313	34541
97	8403	34470
98	8504	34448
99	8576	34304
100	8653	34187
101	8723	34038
102	8808	33951
103	8891	33855
104	8970	33747
105	9056	33663
106	9117	33486
107	9177	33311
108	9255	33202
109	9338	33110
110	9414	32993
111	9505	32931
112	9588	32840
113	9674	32756
114	9756	32662
115	9838	32569
116	9912	32449
117	9988	32336
118	10068	32237
119	10155	32157
120	10239	32071
121	10294	31895
122	10355	31740
123	10429	31624
124	10502	31508
125	10568	31371
126	10665	31325
127	10748	31239
128	10794	31045
129	10881	30969
130	10965	30886
131	11006	30684
132	11077	30566
133	11169	30506
134	11239	30388
135	11321	30301
136	11402	30212
137	11499	30164
138	11567	30041
139	11647	29951
140	11739	29890
141	11805	29762
142	11887	29676
143	11970	29594
144	12060	29528
145	12144	29447
146	12230	29370
147	12305	29266
148	12384	29173
149	12450	29050
150	12525	28950
151	12610	28870
152	12708	28823
153	12780	28714
154	12881	28670
155	12965	28591
156	13057	28526
157	13147	28459
158	13221	28355
159	13302	28268
160	13397	28208
161	13475	28115
162	13566	28047
163	13657	27980
164	13725	27866
165	13808	27782
166	13896	27708
167	13985	27638
168	14080	27578
169	14166	27499
170	14238	27395
171	14305	27280
172	14369	27160
173	14438	27052
174	14526	26978
175	14619	26913
176	14705	26835
177	14789	26754
178	14869	26666
179	14954	26586
180	15039	26506
181	15126	26428
182	15208	26345
183	15258	26204
184	15322	26089
185	15384	25971
186	15467	25888
187	15526	25767
188	15604	25677
189	15682	25586
190	15771	25515
191	15859	25441
192	15937	25351
193	16008	25249
194	16088	25163
195	16173	25085
196	16244	24985
197	16309	24875
198	16392	24795
199	16467	24700
200	16537	24600
201	16615	24511
202	16705	24441
203	16799	24375
204	16869	24275
205	16951	24193
206	17020	24092
207	17100	24006
208	17187	23930
209	17269	23848
210	17356	23772
211	17433	23683
212	17507	23589
213	17594	23514
214	17661	23412
215	17750	23338
216	17829	23252
217	17986	23266
218	18056	23168
219	18142	23090
220	18230	23015
221	18299	22915
222	18356	22801
223	18427	22704
224	18492	22602
225	18643	22603
226	18737	22534
227	18828	22462
228	18924	22395
229	18986	22288
230	19057	22192
231	19113	22079
232	19196	21997
233	19330	21974
234	19415	21893
235	19495	21808
236	19546	21691
237	19628	21608
238	19706	21520
239	19785	21433
240	19862	21346
241	19949	21268
242	20019	21173
243	20104	21093
244	20185	21009
245	20258	20916
246	20336	20830
247	20427	20756
248	20499	20664
249	20580	20580
250	20660	20496
251	20748	20419
252	20826	20332
253	20899	20241
254	20963	20141
255	21025	20040
256	21087	19939
257	21165	19853
258	21235	19759
259	21321	19681
260	21401	19597
261	21490	19522
262	21552	19421
263	21617	19324
264	21702	19245
265	21788	19167
266	21867	19083
267	21943	18996
268	22023	18912
269	22109	18834
270	22201	18760
271	22298	18691
272	22379	18608
273	22454	18520
274	22532	18436
275	22626	18363
276	22709	18282
277	22790	18199
278	22862	18109
279	22942	18026
280	23025	17945
281	23123	17875
282	23196	17786
283	23266	17695
284	23334	17603
285	23417	17521
286	23510	17448
287	23596	17369
288	23675	17285
289	23759	17205
290	23846	17127
291	23947	17058
292	24040	16984
293	24128	16906
294	24225	16834
295	24292	16742
296	24395	16674
297	24493	16602
298	24604	16539
299	24718	16479
300	24819	16409
301	24922	16340
302	25036	16277
303	25146	16212
304	25257	16147
305	25376	16088
306	25496	16028
307	25596	15956
308	25713	15894
309	25818	15824
310	25915	15749
311	26016	15676
312	26118	15604
313	26223	15533
314	26326	15461
315	26429	15389
316	26536	15319
317	26634	15243
318	26722	15162
319	26804	15077
320	26914	15008
321	27020	14937
322	27115	14858
323	27205	14778
324	27288	14693
325	27375	14611
326	27446	14520
327	27533	14438
328	27586	14338
329	27665	14251
330	27749	14168
331	27841	14088
332	27929	14006
333	28016	13924
334	28099	13840
335	28149	13739
336	28202	13641
337	28288	13558
338	28378	13477
339	28457	13391
340	28538	13306
341	28620	13222
342	28700	13136
343	28783	13052
344	28835	12954
345	28883	12855
346	28941	12761
347	29015	12673
348	29107	12593
349	29196	12512
350	29285	12431
351	29368	12347
352	29449	12263
353	29502	12167
354	29594	12088
355	29681	12005
356	29754	11918
357	29844	11837
358	29925	11753
359	29997	11665
360	30078	11581
361	30159	11497
362	30239	11412
363	30320	11328
364	30369	11232
365	30416	11136
366	30464	11040
367	30548	10957
368	30619	10870
369	30697	10785
370	30746	10690
371	30876	10624
372	30949	10537
373	31028	10453
374	31077	10359
375	31149	10272
376	31225	10187
377	31291	10099
378	31339	10005
379	31415	9920
380	31493	9836
381	31574	9753
382	31650	9668
383	31721	9582
384	31796	9497
385	31842	9404
386	31914	9318
387	31990	9234
388	32071	9151
389	32118	9059
