iter	Passed	Remaining
0	87	43735
1	179	44599
2	294	48762
3	394	48958
4	496	49137
5	594	48960
6	685	48299
7	786	48384
8	879	47954
9	1075	52679
10	1182	52573
11	1278	51986
12	1358	50893
13	1436	49871
14	1508	48774
15	1592	48176
16	1679	47730
17	1762	47194
18	1842	46648
19	1927	46265
20	2003	45704
21	2090	45431
22	2179	45199
23	2276	45152
24	2359	44835
25	2419	44107
26	2506	43913
27	2590	43666
28	2670	43375
29	2742	42964
30	2839	42951
31	2920	42708
32	3002	42490
33	3096	42445
34	3186	42333
35	3275	42223
36	3353	41962
37	3446	41903
38	3539	41843
39	3625	41694
40	3701	41438
41	3776	41179
42	3860	41028
43	3949	40931
44	4028	40737
45	4085	40326
46	4165	40148
47	4270	40210
48	4353	40072
49	4443	39992
50	4524	39828
51	4603	39663
52	4700	39643
53	4784	39514
54	4864	39362
55	4957	39302
56	5048	39236
57	5123	39043
58	5193	38817
59	5278	38708
60	5363	38596
61	5453	38525
62	5539	38426
63	5614	38246
64	5669	37939
65	5751	37817
66	5831	37687
67	5920	37611
68	6011	37547
69	6095	37444
70	6173	37301
71	6239	37093
72	6308	36898
73	6385	36759
74	6468	36653
75	6556	36578
76	6626	36403
77	6688	36187
78	6775	36108
79	6871	36073
80	6964	36025
81	7056	35970
82	7145	35898
83	7221	35765
84	7301	35649
85	7392	35585
86	7478	35501
87	7570	35443
88	7641	35289
89	7746	35289
90	7843	35253
91	7943	35226
92	8039	35181
93	8100	34986
94	8182	34881
95	8267	34793
96	8362	34744
97	8461	34708
98	8539	34588
99	8617	34471
100	8689	34329
101	8774	34236
102	8847	34102
103	8916	33952
104	8995	33838
105	9057	33664
106	9136	33557
107	9314	33808
108	9435	33847
109	9514	33732
110	9599	33639
111	9692	33578
112	9776	33483
113	9873	33429
114	9940	33278
115	10049	33265
116	10176	33313
117	10285	33297
118	10367	33192
119	10453	33103
120	10532	32988
121	10606	32862
122	10682	32742
123	10768	32651
124	10857	32572
125	10935	32460
126	11004	32321
127	11097	32253
128	11183	32164
129	11264	32061
130	11346	31959
131	11400	31784
132	11456	31611
133	11549	31545
134	11632	31450
135	11716	31359
136	11793	31248
137	11870	31137
138	11959	31060
139	12046	30977
140	12148	30930
141	12215	30795
142	12292	30688
143	12362	30563
144	12445	30470
145	12525	30371
146	12615	30295
147	12700	30207
148	12784	30115
149	12872	30035
150	12959	29953
151	13027	29825
152	13103	29719
153	13190	29634
154	13285	29570
155	13359	29458
156	13437	29356
157	13511	29247
158	13598	29163
159	13671	29051
160	13754	28961
161	13836	28868
162	13912	28763
163	14006	28696
164	14049	28523
165	14135	28442
166	14221	28357
167	14279	28218
168	14372	28149
169	14445	28041
170	14543	27980
171	14635	27910
172	14718	27820
173	14807	27742
174	14901	27674
175	15000	27615
176	15092	27540
177	15190	27479
178	15259	27364
179	15316	27229
180	15406	27152
181	15470	27030
182	15526	26896
183	15619	26824
184	15709	26749
185	15805	26682
186	15898	26611
187	15978	26517
188	16070	26444
189	16141	26336
190	16221	26243
191	16308	26162
192	16386	26065
193	16470	25978
194	16539	25868
195	16615	25770
196	16700	25686
197	16787	25605
198	16877	25528
199	16952	25428
200	17039	25347
201	17127	25267
202	17212	25183
203	17308	25114
204	17392	25028
205	17457	24914
206	17544	24834
207	17619	24734
208	17698	24642
209	17750	24512
210	17822	24410
211	17900	24317
212	17990	24240
213	18076	24158
214	18158	24070
215	18253	24000
216	18334	23910
217	18410	23815
218	18484	23717
219	18566	23630
220	18643	23536
221	18731	23457
222	18824	23382
223	18888	23272
224	18961	23175
225	19053	23100
226	19126	23002
227	19215	22923
228	19304	22845
229	19367	22736
230	19457	22658
231	19548	22581
232	19645	22512
233	19715	22411
234	19795	22322
235	19877	22236
236	19962	22152
237	20040	22061
238	20129	21982
239	20231	21916
240	20306	21823
241	20398	21746
242	20485	21665
243	20545	21555
244	20631	21473
245	20770	21446
246	20849	21355
247	20939	21276
248	21020	21189
249	21114	21114
250	21202	21033
251	21287	20949
252	21380	20873
253	21459	20783
254	21545	20700
255	21644	20629
256	21718	20535
257	21802	20450
258	21895	20373
259	21972	20282
260	22059	20199
261	22138	20110
262	22233	20035
263	22325	19957
264	22418	19880
265	22506	19798
266	22601	19723
267	22698	19649
268	22791	19571
269	22867	19479
270	22958	19400
271	23055	19325
272	23141	19242
273	23212	19145
274	23285	19051
275	23355	18954
276	23425	18858
277	23514	18777
278	23580	18678
279	23670	18597
280	23764	18521
281	23849	18436
282	23952	18366
283	24047	18289
284	24132	18204
285	24223	18125
286	24307	18040
287	24411	17969
288	24498	17886
289	24589	17806
290	24682	17727
291	24767	17642
292	24857	17561
293	24944	17478
294	25030	17394
295	25116	17310
296	25210	17231
297	25293	17145
298	25384	17064
299	25468	16979
300	25556	16895
301	25622	16798
302	25714	16718
303	25797	16632
304	25891	16553
305	25975	16468
306	26055	16380
307	26141	16296
308	26236	16217
309	26330	16138
310	26421	16056
311	26516	15978
312	26612	15899
313	26703	15817
314	26783	15729
315	26873	15647
316	26961	15564
317	27055	15484
318	27156	15408
319	27250	15328
320	27342	15246
321	27430	15163
322	27522	15081
323	27610	14998
324	27703	14917
325	27791	14833
326	27882	14751
327	27970	14667
328	28054	14581
329	28141	14497
330	28233	14415
331	28329	14335
332	28421	14253
333	28509	14169
334	28603	14088
335	28690	14003
336	28776	13918
337	28867	13835
338	28955	13751
339	29041	13666
340	29118	13577
341	29230	13504
342	29321	13421
343	29408	13336
344	29498	13252
345	29587	13169
346	29682	13087
347	29775	13005
348	29861	12919
349	29950	12836
350	30037	12750
351	30114	12661
352	30206	12578
